ID,SVS_Friendship,B_ArguedWithFriend,B_metWithGroupOfPeople,ColumnID,Text,Group,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male
105091,7,2,4,GuidingValues,"Honesty is always the best policy.  Without honesty, interaction is meaningless.  When a person lies, it is an insult to the person being lied to.  The liar thinks thy are stupid enough to believe the lie.  When a person tells a lie, they have to remember the lie so that they don't contradict it later.  Sooner or later, the liar will be caught and loose trust.  Trust is based on honesty.  Once trust is lost, it is almost impossible to re-establish.  If a person expects to be treated honestly, they have to act honestly.  A dishonest person is often the victim of dishonesty. /  / Other virtues spring from honesty.  Without honesty, it is difficult to be compassionate or charitable.  Charity is the honest desire to help others with no expectation of reciprocation.  In tharity, there is no tit for tat.  Charity is just giving, expecting nothing in return.  However: there is a thing called karma.  When a person is charitable and generous, returns do come in many ways.  ",v,167,53.01,40.06,61.72,83.27,9.82,20.96,91.62,70.66,55.69,6.59,2.4,0,0,0.6,0,1.8,4.19,13.77,9.58,0.6,11.98,13.77,8.38,5.99,2.4,21.56,7.78,1.8,4.19,2.99,0.6,0.6,14.97,2.4,12.57,2.4,1.2,0.6,2.99,1.2,5.39,0.6,10.18,6.59,2.4,1.2,0,0.6,0,0.6,0,0.6,24.55,17.96,4.79,0,0.6,7.19,1.2,7.78,0,0,0,0
105091,7,2,4,Behaviors7days,"My past week has been uneventful.  I worked four days as a retail cashier.  It is plesant work because of the interaction with customers.  My husband took pictures of flowers in our yard, uploaded them to my  phone and I showed them to customers.  Customers showed me pictures too.  On most days that I worked, my husband had dinner ready when I got home.  One day he grilled a T-Bone steak for me and the dog and a chicken breast for himself.   I asked why he grilled a chicken breast instead of steak for himself.  His answer was, ""I just felt like chicken.""  Most nights we watch tv for aboput three hours.  While watching tv, sometimes we have ice cream.   Once in the past week my husband made milk shakes.  ",v,130,48.9,62.84,77.64,56.22,10.83,19.23,79.23,69.23,53.08,19.23,17.69,10,2.31,0,3.85,1.54,1.54,16.15,5.38,3.08,11.54,4.62,4.62,5.38,0,12.31,3.85,10,6.92,4.62,2.31,0,6.15,0,6.15,1.54,3.08,0,0.77,0,0.77,0,2.31,2.31,0,0,0,0,0,0,0,0,14.62,2.31,0,0,0,0,2.31,12.31,2.31,0,0,6.15
105481,4,5,2,GuidingValues,"I value truth and meaning in life above most other things. I believe we must have a purpose here, that life can't be as desperately awful as it feels, and that there must be a purpose to the suffering. I value the innocent, nature, and animals and believe in taking care of these things and preventing as much pain to pothers as possible. I always try to not be a source of pain for anyone or anything. I believe love is valuable and may be the only thing that rea;;y lends meaning to life.",v,95,28.1,6.45,21.03,4.13,19,16.84,90.53,78.95,64.21,16.84,6.32,5.26,1.05,0,0,0,10.53,13.68,6.32,0,14.74,10.53,4.21,11.58,2.11,20,8.42,2.11,3.16,1.05,1.05,1.05,25.26,3.16,22.11,5.26,3.16,6.32,5.26,4.21,4.21,0,8.42,3.16,5.26,6.32,1.05,5.26,0,0,0,0,8.42,4.21,1.05,0,0,1.05,0,2.11,0,0,0,0
105481,4,5,2,Behaviors7days,"I have been sleeping a lot, often 12 hours or more. I will get up and eat a piece of fruit, watch some TV and try to do a bit of writing or find writing jobs. I have been doing some research into concrete projects and looking for plans to make hypertufa bowls and a potting table. I have also been looking at craigslist for furniture that can be taken apart for wood. I have searched the internet for garden pictures that I like, as I try to design a garden.  Every day is the same as the one before, and I have been very bored and depressed, so I haven't done much. I try to cheer myself up by watching and rewatching TV shows I like. I went out to lunch with my mom and visited a salvage yard and a couple of goodwill stores to find old glass bowls.",v,151,61.87,1.66,62.45,13.18,18.88,13.91,82.78,77.48,59.6,10.6,9.27,9.27,0,0,0,0,1.32,13.25,6.62,0.66,16.56,11.26,2.65,10.6,0.66,22.52,3.97,7.95,3.31,0.66,2.65,0,11.92,1.99,9.93,1.99,0.66,2.65,1.99,0,3.31,0,1.99,0.66,1.32,1.99,0.66,1.32,0,0,0.66,0,2.65,1.99,0,0,0,0,1.32,0.66,0.66,0,0.66,0
105834,6,2,1,GuidingValues,"This is deep.  I do try to be a good person, I want a lot for myself.  I am willing work hard to get it and I love to share with my people.  My people are the ones that I choose to keep in my life.  Since my parents passed away I am very close to my sister and my nephew who need a lot of care.  I love my partner very much. /  / So getting working hard to get the things for my partner and I that we need and want, and being able to help my sister and adult nephew.  This is what drives me now. /  / I suppose that if I had to state it as a guiding principle, I would say: /  / To work hard in life to care for those who are important to me.  That is my guiding star.  There is the creature comfort thing, I mean I am not a saint, I want to help them buy food and stuff but I still want my super fancy shoes and clothes and nice things in my house.  Would I sacrifice my luxuries for their necessities?  Of course but that doesn't mean I would like it. /  / I try to be a good kind person and model this behavior to those that I am with each day.",v,218,16.59,2.44,54.95,99,15.57,8.26,93.12,77.52,64.22,27.06,18.35,16.06,0.46,0,0,0.92,8.72,17.43,4.13,0,13.3,8.72,2.75,7.34,0.92,18.35,5.05,2.75,7.34,4.13,3.21,0,10.55,0,10.55,0.92,0.46,5.5,0.92,0.92,1.83,0,8.72,8.26,0,3.21,2.75,0,0,0,0,0,12.84,5.05,3.67,0,0,0,0.46,6.88,2.29,0,0.92,0.92
105834,6,2,1,Behaviors7days,"A week ago tonight I was sitting watching television and looking for HITS to complete on the Amazon Mechanical Turk system.  I got a phone call from a friend who knew that my partner was planning to visit his mother for Mother's day, and hoped I would visit her that weekend.  I agreed since she and I both have lost our mothers.  /  / I went to work each day, I am a hairdresser.  It looked at the beginning of the week that I was going to be slow and not make a lot of money.  Things picked up and I had an above average week, which made me happy.  I do enjoy my clients and work.   /  / I had to take my nephew on Wednesday for a psych exam for his social security disability.  He is 23 and I was vey worried as he does not go to the doctor or take his medications really.  The last diagnosis I had was ADD HD with and oppositional disorder.  With no recent medical history I  thought for sure they would cut him off.  This new Dr.  told me his real disorder is Severe Anti Social Anxiety Disorder, and that he was suggesting that nothing change for my nephew.  Which felt good.   /  / So I worked, walked my dogs, watched my Weight Watchers points and visited my friend.  It was a good week all in all.",v,230,37.2,16.56,71.83,20.23,15.33,15.22,85.65,73.91,56.52,20.87,16.09,10.43,0.43,0,4.35,0.43,4.78,16.52,5.65,0.43,11.74,8.26,1.3,6.09,1.74,19.13,4.78,6.52,4.78,2.61,1.74,0.43,10.43,1.74,8.7,2.17,1.74,1.3,0.87,0.87,2.17,0,5.22,2.61,2.61,3.04,2.17,0.87,0.87,0,0,0,13.91,3.91,0.43,0,0.43,0,1.74,9.13,2.17,0.87,2.17,4.35
109158,5,2,2,GuidingValues,"The most important value of my life is to do no harm; human rights above all else. A good work ethic is important as well because it helps build self-esteem and confidence. Having a sense of humor is important as well because it makes people happy and is just a great asset to have. Also, having the desire to know things about other people and their cultures is important as well. Being able to see things from their perspective is a good way to know about how people live their lives, even though it's very different from the way we live.",v,101,31.89,51.87,27.66,99,20.2,10.89,93.07,76.24,61.39,9.9,4.95,0.99,0.99,0,0,2.97,4.95,14.85,6.93,0,14.85,11.88,11.88,9.9,0.99,18.81,9.9,1.98,4.95,1.98,2.97,0,14.85,1.98,12.87,4.95,3.96,0.99,0,0,3.96,0,14.85,12.87,0.99,4.95,3.96,0,0,0,0,0,12.87,3.96,0.99,0,0,2.97,0,6.93,0,0,0,0
109158,5,2,2,Behaviors7days,"I mostly worked and slept. I ate food that I made occasionally. It's hard to do much else when you work over 50 hours a week. Here is my schedule though: Monday-Friday go to work at 6 and work til 2. Eat during lunchtime and at breaks. Then go home and work at my part-time jobs. So it's mostly working, eating, sleeping. On the weekend I mostly do chores and take care of errands.",v,74,18.51,7.05,99,39.97,9.25,12.16,85.14,74.32,54.05,13.51,9.46,8.11,0,1.35,0,0,4.05,8.11,2.7,4.05,13.51,6.76,10.81,13.51,0,22.97,4.05,4.05,8.11,0,8.11,0,9.46,0,9.46,0,1.35,0,5.41,0,2.7,0,1.35,1.35,0,0,0,0,0,0,0,0,2.7,1.35,1.35,0,0,0,0,1.35,0,0,0,0
110521,3,3,6,GuidingValues,"I believe having aspirations and goals to achieve is an important part of who I am because I was raised to continuously reach for something new. I was taught never to settle, and I think that has become instilled in me. Social justice and equality have become guiding values for me since entering the social work profession. Although they were always consistent with my views, I never truly understood the meaning of those values until they were put into practice in my work with oppressed populations. As a result, these values are close my heart and in the front of my mind. Loyalty and honesty are also important values to me because the most satisfying relationships are built upon these foundational values. They have the potential to make or break relationships with other people, and those are the values that I strive to realize in myself, as well as search for in others. ",v,153,40.88,3.42,98.42,98.72,21.86,19.61,87.58,73.86,61.44,17.65,12.42,9.8,0,0,0,1.96,5.23,13.07,5.23,0,17.65,9.15,3.92,10.46,1.31,15.69,5.23,1.31,8.5,1.96,4.58,1.96,17.65,1.96,15.69,3.27,3.27,0.65,1.96,0.65,3.92,0,8.5,7.84,0.65,0,0,0,0,0,0,0,7.84,2.61,1.31,0,0,1.31,0,4.58,0,0,0,0
110521,3,3,6,Behaviors7days,"I drove to my internship and had my last day on Monday. I ate cheesecake and chocolate covered strawberries and got presents. I then took a surprise trip to Philadelphia to see my boyfriend and his daughter. I then went home and prepared a presentation due the next day.  I went to school for my last day of the semester on Tuesday and had 3 classes and a pizza party. On Wednesday, I did all the laundry in the house and began my spring cleaning. On Thursday and Friday, I relaxed at home and caught up on some sleep. I also did some more cleaning and baking. Yesterday, I called my friend and we talked for about an hour to catch up. I also called and made an appointment to get a haircut next week.  Later, I worked on some homework with my boyfriend to help him out. After that, I took a long shower to relax and shaved my legs. I went to bed early and had some bad dreams, but slept well.",v,174,68.11,7.18,99,74.09,13.38,14.94,78.74,72.41,54.02,14.37,13.79,12.07,0.57,0,1.15,0,0.57,15.52,6.32,0.57,14.94,2.87,2.3,12.07,0,14.94,4.02,6.9,5.17,4.02,0.57,0.57,1.72,0.57,1.15,0,0.57,0,0,0,0.57,0,5.17,4.02,0.57,2.3,1.15,0.57,0,0,0,0,6.9,2.87,0.57,0,0,0,1.72,4.02,0.57,1.72,0.57,2.3
111395,6,2,3,GuidingValues,"My basic values are based on the Golden Rule: Do unto others as I would have them do unto me. I try to see things from other people's point of view, not just my own. I consider how my actions affect others. I believe in treating people as fairly as possible. I look out for my wellbeing and the wellbeing of others. I believe in trying not to burden people. I believe in helping people who have fallen on hard times. I try to look at a person's situation with compassion. I try to understand how people got to be where they are, and I try to consider the forces beyond their control that contributed to how they got to where they are. I believe in defending those who are weak. ",v,131,46.98,6.49,96.66,55.92,13.1,15.27,93.89,80.92,62.6,22.14,17.56,12.21,0,0,0,3.82,4.58,9.16,3.05,0,20.61,7.63,6.11,3.82,1.53,22.14,4.58,0,9.92,1.53,3.82,4.58,22.14,0,22.14,7.63,5.34,4.58,1.53,0,4.58,0,3.82,3.05,0.76,1.53,1.53,0,0,0,0,0,12.21,2.29,2.29,0,0,0,0,9.92,0,0,0,0
111395,6,2,3,Behaviors7days,Slept. Ate. Sat with my parents on their patio and talked. Did Mechanical Turk work. Sanded wooden folding doors. Painted walls and trim in basement hallway. Prepared basement hallway floor to be tiled. Helped ex-husband-to-be with a problem he's experiencing. Brushed my teeth. Showered. Flossed. Fed and watered cats. Helped a cat move her kittens a few times. Petted cats. Petted dog. Did the dishwasher. Made my bed. Watched TV. Swept the floor. Cleaned kitchen. Cleaned bathroom. Dusted bedroom. Read book. Read news online. Brushed my hair. Fixed my hair. Washed my face. Used the restroom. ,v,96,80.52,34.13,26.04,83,3.43,27.08,54.17,48.96,28.13,9.38,9.38,6.25,0,0,2.08,1.04,0,15.63,6.25,0,5.21,4.17,0,3.13,0,22.92,3.13,1.04,4.17,3.13,1.04,0,3.13,0,3.13,0,2.08,0,0,0,0,0,4.17,4.17,0,0,0,0,0,0,0,0,9.38,4.17,2.08,0,0,0,2.08,5.21,2.08,0,1.04,2.08
111737,3,5,2,GuidingValues,"One of the central and most important values that guides my life is honesty.  I hold myself and those who surround me to very high standards concerning honesty.  To me, complete and total honesty in all situations is necessary.  Another value I hold in high regard is kindness to others.  I believe that a person should strive to help those in need in their community.  I have lived in many places across the country and I noticed that they all lack a central sense of community.  I feel that people should learn to depend on eachother more and work together to help their community grow.  ",v,105,56.86,24.76,93.95,99,15,20.95,92.38,78.1,58.1,20.95,13.33,9.52,0,0,0,2.86,7.62,19.05,3.81,0.95,15.24,5.71,1.9,4.76,0,17.14,9.52,7.62,7.62,6.67,0.95,0,14.29,1.9,12.38,4.76,0.95,3.81,0.95,0,1.9,0,9.52,9.52,0,0,0,0,0,0,0,0,20,9.52,4.76,0.95,0,2.86,0,8.57,0,0,0,0
111737,3,5,2,Behaviors7days,"Last Tuesday I woke up with my fiance, ate breakfast and drank coffee, then we went around town I ran errands.  I applied for food stamps at DSS.  We made an appointment for a disability lawyer for my fiance.  We stopped at the post office, bought a money order, and mailed in the application for a duplicate car title and for my fiance's college transcripts.  After that, we drove to the main branch of the post office located downtown to inquire about a lost money order at the claims office.  It was nearly 5pm, so I didn't get much help.  After that, we went home.  I made dinner and my fiance helped our roommate work on his car. / On Wednesday we woke up and had breakfast with coffee.  My fiance helped my roommate work on his car.  I went to Barnes & Noble and worked for a while.  After that I went to Carolina Ale House and had an Angry Orchard Crisp Apple CIder.  Actually I had two of them.   / On Thursday my fiance was STILL helping the roommate with the car so I did a repeat of the Barnes & Noble/Carolina Ale House trip. / Something happened on Friday.  I'm not sure what it was though. / On Saturday they were STILL working on the car.  After that we took the dog to the park and watched movies.  Catch Me If You Can is a pretty good movie. / Sunday was Mother's Day.  I called my Mom.  The roommates fed us crab legs. / ",v,250,65.79,65.97,66.06,50.98,11.36,13.2,75.6,66,53.2,16.8,13.6,8,3.6,0.4,0.8,0.8,3.2,15.2,8.4,0.8,14.4,5.2,4,7.2,0.8,14.4,3.2,1.2,12.8,10,1.6,1.2,5.2,0,5.2,0.4,0.8,0.4,2.4,0.4,1.6,0,3.6,2.8,0.8,0.8,0.4,0.4,0,0.4,0,0,14.8,4,1.6,0,0,0.8,1.2,10.8,3.2,4,0.8,3.2
112516,5,2,2,GuidingValues,"Creativity is the most important value I have, from it flows the notions of not being exploited and remaining an individual in the face of enormous societal pressure to conform. More and more these days people are forced to dow whatever they can just to survive and end up going through their days working insanely hard to make someone else obscenely rich. I try to avoid that, to find new ways of living, to be myself when it often seems like the things I care about are completely ignored by everyone else. ",v,92,60.52,28.14,60.36,84.9,30.67,21.74,88.04,83.7,61.96,15.22,6.52,4.35,0,0,0,2.17,8.7,11.96,5.43,0,18.48,7.61,8.7,4.35,1.09,18.48,11.96,8.7,6.52,0,3.26,3.26,14.13,1.09,13.04,2.17,2.17,2.17,3.26,1.09,3.26,0,4.35,4.35,0,0,0,0,0,0,0,0,10.87,3.26,1.09,0,0,0,0,6.52,0,0,0,0
112516,5,2,2,Behaviors7days,"Mostly I've gone to work and come home during the week, then on the weekend I visited my parents and had dinner with them. I was working on a new project, a hobby, i design and build furnitire and have been working on a bookcase made from an old guitar amp during the evenings. I usually watch some tv or play some video games also in the evenings.",v,68,75.75,8.72,99,66.58,22.67,16.18,76.47,72.06,57.35,10.29,10.29,8.82,0,0,0,1.47,0,16.18,11.76,0,13.24,7.35,4.41,10.29,0,17.65,2.94,4.41,5.88,1.47,4.41,0,5.88,0,5.88,0,1.47,0,4.41,0,1.47,0,2.94,2.94,0,0,0,0,0,0,0,0,4.41,1.47,0,0,0,0,0,2.94,1.47,0,0,0
112780,7,6,4,GuidingValues,"Family first, try to take caare of my family and am very loyal. / Work hard, much of success I think is just plugging forward.  I try to focus on my career. / Have fun, if you are living with no fun that isn't much of a life. / Learn, learn, learn I try to keep adding to my knowledge by reading and taking classes. / I try to  lead by example.  It seems pretty easy to talk a good game.  I think a distinguishing factor is those people that actually do what they say.",v,91,50.23,7.93,46.1,99,11.38,9.89,90.11,79.12,53.85,16.48,10.99,8.79,0,1.1,0,1.1,5.49,14.29,3.3,1.1,14.29,7.69,4.4,3.3,2.2,27.47,9.89,4.4,10.99,3.3,7.69,1.1,19.78,1.1,18.68,7.69,1.1,4.4,3.3,1.1,3.3,0,7.69,7.69,0,3.3,3.3,0,0,0,0,0,13.19,6.59,1.1,0,0,1.1,2.2,5.49,2.2,0,0,0
112780,7,6,4,Behaviors7days,The last 7 days have been filled with work and time with my Son.  I try to get to work on time and put in a full days work.  For fun I spend time with my Son. /  / We play a lot of balloon volley ball .  We chase each other around the yard with water guns.  We moved into a new house and we play hide and seek. /  / I spent a lot of time cleaning as well.  I try to work on a different room each day. /  / ,v,86,94.59,53.95,97.61,98.39,10.75,3.49,82.56,72.09,52.33,11.63,11.63,6.98,4.65,0,0,0,0,16.28,8.14,1.16,18.6,2.33,2.33,5.81,0,12.79,5.81,12.79,11.63,4.65,6.98,0,4.65,0,4.65,0,0,2.33,0,0,2.33,0,6.98,6.98,0,1.16,1.16,0,0,0,0,0,6.98,0,0,0,0,0,0,6.98,2.33,0,0,2.33
114394,1,1,4,GuidingValues,"My main guiding values are the preservation of my health, and the health and well-being of myself and my family. My second main guiding value is to be truthful and honest. I also highly esteem the value of never hurting another human or animal intentionally. Another value I have is to be helpful to  others and to benefit the community in which I live. I strive to use my time well and I like to pursue artistic endeavors. Another one of my values is to explore new experiences, and to travel when I can afford it. A sense of accomplishment is something I value. Thus, I have completed my bachelor's degree, and I hope to someday write a book or begin a blog. I am careful with my money, and strive to be self-sufficient in my lifestyle, as much as possible. My family and friends are important to me. Whenever possible, I put spending time with my family and friends before other activities, such as work, shopping, or watching television.",v,170,28.33,1,98.77,97.35,15.45,21.18,84.12,72.35,60,18.24,14.12,14.12,0,0,0,0,4.12,15.29,4.12,1.18,14.71,7.65,4.12,12.35,0.59,12.94,7.65,3.53,6.47,3.53,2.94,0,12.35,0.59,11.76,1.76,1.18,1.18,4.71,0,5.29,0,7.65,7.06,0.59,1.76,1.18,0.59,0,0,0,0,8.24,3.53,1.76,0,0,1.18,0.59,4.71,1.76,1.18,0,0.59
