ID,GuidingValues,Behaviors7days,Gender,Age,Ethnicity,PrimaryLanguage,Education,Income,Group,WC,Analytic,Authentic,WPS,BigWords,Linguistic,function,pronoun,ppron,i,we,shehe,they,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_neg,emotion,emo_neg,emo_anx,emo_anger,emo_sad,motion,Excl,SVS_Friendship,friend,talked,Met with someone,meet
111395,"My basic values are based on the Golden Rule: Do unto others as I would have them do unto me. I try to see things from other people's point of view, not just my own. I consider how my actions affect others. I believe in treating people as fairly as possible. I look out for my wellbeing and the wellbeing of others. I believe in trying not to burden people. I believe in helping people who have fallen on hard times. I try to look at a person's situation with compassion. I try to understand how people got to be where they are, and I try to consider the forces beyond their control that contributed to how they got to where they are. I believe in defending those who are weak. ",Slept. Ate. Sat with my parents on their patio and talked. Did Mechanical Turk work. Sanded wooden folding doors. Painted walls and trim in basement hallway. Prepared basement hallway floor to be tiled. Helped ex-husband-to-be with a problem he's experiencing. Brushed my teeth. Showered. Flossed. Fed and watered cats. Helped a cat move her kittens a few times. Petted cats. Petted dog. Did the dishwasher. Made my bed. Watched TV. Swept the floor. Cleaned kitchen. Cleaned bathroom. Dusted bedroom. Read book. Read news online. Brushed my hair. Fixed my hair. Washed my face. Used the restroom. ,2,4,White,English,3,5,v,131,46.98,96.66,13.1,15.27,80.92,62.6,22.14,17.56,12.21,0,0,3.82,9.92,1.53,3.82,4.58,22.14,0,22.14,7.63,5.34,4.58,1.53,0,4.58,0,3.82,0.76,1.53,0,0,0,0,0.76,1.53,6,High,2,2,Low
111737,"One of the central and most important values that guides my life is honesty.  I hold myself and those who surround me to very high standards concerning honesty.  To me, complete and total honesty in all situations is necessary.  Another value I hold in high regard is kindness to others.  I believe that a person should strive to help those in need in their community.  I have lived in many places across the country and I noticed that they all lack a central sense of community.  I feel that people should learn to depend on eachother more and work together to help their community grow.  ","Last Tuesday I woke up with my fiance, ate breakfast and drank coffee, then we went around town I ran errands.  I applied for food stamps at DSS.  We made an appointment for a disability lawyer for my fiance.  We stopped at the post office, bought a money order, and mailed in the application for a duplicate car title and for my fiance's college transcripts.  After that, we drove to the main branch of the post office located downtown to inquire about a lost money order at the claims office.  It was nearly 5pm, so I didn't get much help.  After that, we went home.  I made dinner and my fiance helped our roommate work on his car. / On Wednesday we woke up and had breakfast with coffee.  My fiance helped my roommate work on his car.  I went to Barnes & Noble and worked for a while.  After that I went to Carolina Ale House and had an Angry Orchard Crisp Apple CIder.  Actually I had two of them.   / On Thursday my fiance was STILL helping the roommate with the car so I did a repeat of the Barnes & Noble/Carolina Ale House trip. / Something happened on Friday.  I'm not sure what it was though. / On Saturday they were STILL working on the car.  After that we took the dog to the park and watched movies.  Catch Me If You Can is a pretty good movie. / Sunday was Mother's Day.  I called my Mom.  The roommates fed us crab legs. / ",2,5,Caucasian,English,3,1,v,105,56.86,93.95,15,20.95,78.1,58.1,20.95,13.33,9.52,0,0,2.86,7.62,6.67,0.95,0,14.29,1.9,12.38,4.76,0.95,3.81,0.95,0,1.9,0,9.52,0,0,0,0,0,0,0,3.81,3,Low,2,6,Low
112516,"Creativity is the most important value I have, from it flows the notions of not being exploited and remaining an individual in the face of enormous societal pressure to conform. More and more these days people are forced to dow whatever they can just to survive and end up going through their days working insanely hard to make someone else obscenely rich. I try to avoid that, to find new ways of living, to be myself when it often seems like the things I care about are completely ignored by everyone else. ","Mostly I've gone to work and come home during the week, then on the weekend I visited my parents and had dinner with them. I was working on a new project, a hobby, i design and build furnitire and have been working on a bookcase made from an old guitar amp during the evenings. I usually watch some tv or play some video games also in the evenings.",1,5,white,english,5,16,v,92,60.52,60.36,30.67,21.74,83.7,61.96,15.22,6.52,4.35,0,0,2.17,6.52,0,3.26,3.26,14.13,1.09,13.04,2.17,2.17,2.17,3.26,1.09,3.26,0,4.35,0,0,0,0,0,0,2.17,1.09,5,High,4,3,Low
112780,"Family first, try to take caare of my family and am very loyal. / Work hard, much of success I think is just plugging forward.  I try to focus on my career. / Have fun, if you are living with no fun that isn't much of a life. / Learn, learn, learn I try to keep adding to my knowledge by reading and taking classes. / I try to  lead by example.  It seems pretty easy to talk a good game.  I think a distinguishing factor is those people that actually do what they say.",The last 7 days have been filled with work and time with my Son.  I try to get to work on time and put in a full days work.  For fun I spend time with my Son. /  / We play a lot of balloon volley ball .  We chase each other around the yard with water guns.  We moved into a new house and we play hide and seek. /  / I spent a lot of time cleaning as well.  I try to work on a different room each day. /  / ,1,5,Irish,English,4,12,v,91,50.23,46.1,11.38,9.89,79.12,53.85,16.48,10.99,8.79,0,0,1.1,10.99,3.3,7.69,1.1,19.78,1.1,18.68,7.69,1.1,4.4,3.3,1.1,3.3,0,7.69,0,3.3,0,0,0,0,0,2.2,7,High,4,3,High
114394,"My main guiding values are the preservation of my health, and the health and well-being of myself and my family. My second main guiding value is to be truthful and honest. I also highly esteem the value of never hurting another human or animal intentionally. Another value I have is to be helpful to  others and to benefit the community in which I live. I strive to use my time well and I like to pursue artistic endeavors. Another one of my values is to explore new experiences, and to travel when I can afford it. A sense of accomplishment is something I value. Thus, I have completed my bachelor's degree, and I hope to someday write a book or begin a blog. I am careful with my money, and strive to be self-sufficient in my lifestyle, as much as possible. My family and friends are important to me. Whenever possible, I put spending time with my family and friends before other activities, such as work, shopping, or watching television.","Last Tuesday I went to doll making class and beading class at the Senior Center, of which I am a lifetime member. I helped do the dishes after my husband made supper (he cooks once a week). I spent a great deal of time last week putting things away in the house because my son just graduated from college, and he had a bunch of things that he didn't want to move into his new house. I spent some time finishing up a cat doll I made. I spent time every day walking for exercise. I spent time at the thrift store, where I volunteer once a week. I spent time feeding some cats that live on our property (in a rural area). I spent some time sending my son a copy of his birth certificate today. I spent time cooking supper every night, except the nights when I went out of town and to a restaurant with my husband and my son who was visiting from out of town. I spent time decluttering my room. I spent time relaxing on Sunday. I didn't go to a picnic that I was invited to on Sunday, because I don't particularly like the person who invited me. I spent time writing and rewriting my goals. I spent time every day learning Spanish. I spent time learning to play the piano.",2,6,caucasian,English,5,2,v,170,28.33,98.77,15.45,21.18,72.35,60,18.24,14.12,14.12,0,0,0,6.47,3.53,2.94,0,12.35,0.59,11.76,1.76,1.18,1.18,4.71,0,5.29,0,7.65,0.59,1.76,0.59,0,0,0,2.35,1.76,1,Low,2,6,High
115056,"My most important values that guide my life are self control and my respect for others. Without these two very important attributes , I believe that I will stray off the path that is consumed in light and I will plunder into the darkest abbyss of this wide-ranged planet. Most people have these same attributes and I know that these are the attributes that make us as a species so unique.","through the past week i have went fishing at the lake near my house, I have celebrated mothers day by ordering pizza from Abby's legendary pizza and I have mostly studied for my university health tests. I usually clean up and make dinner everyday for my family so my life is usually very tiring and boring.",1,5,black,english,4,1,v,70,15.41,86.85,23.33,20,72.86,61.43,25.71,11.43,10,1.43,0,0,4.29,1.43,0,2.86,15.71,0,15.71,2.86,7.14,0,0,0,5.71,0,4.29,0,0,0,0,0,0,0,10,7,High,5,2,Low
118380,"I live by one word: respect. This is respect for yourself, for others, and for your surroundings. I follow this to the letter and it lets the beliefs of most religions and social beliefs into their most simplistic form. Beyond this, I have a special attention to nature. My mantra is ""We are not meant to live with nature but instead, to be one with it. I see this as both literal and spiritual. with this spiritual path and my belief in respect, my path of how I treat others and the path I follow in life are complete. My beliefs have guided me o be a member of Greenpeace and the sierra club, and to do things like go solar and carpool. As for the respect part, I believe that this fits right in as I do not kill plants or animals indiscriminately, nor do I require those in my company to follow my path as I respect their beliefs. This does not mean I do not actively discuss my beliefs as I attempt for them to see my viewpoint. ","Bough a new pc monitor, caught up on dvr'd tv shows, and went to work. organized my tackle box and went fishing with my daughter. rarely eat breakfast, but I eat lunch and dinner. Im dieting so I avoid food that I haven't made myself. Monday  Friday I got up, had coffee, and went to work.When I left work I went to gym then some days I went to TSC for supplies for work.Once I got home, I made and ate dinner, watched tv, played on computer (catch up on daily events around the world and check weather) then usually off to bed for the next day. Today I purposefully did nothing. Even with this though, I fixed my dishwasher, did dishes, and cleaned up the house a bit. Took a nap in the middle of the day and played on the computer while watching tv.",1,5,caucasion,english,5,4,v,181,29.25,99,18.1,17.68,71.27,64.09,23.2,15.47,11.6,1.1,0,1.66,5.52,2.21,0,3.31,11.6,0,11.6,5.52,0.55,0,0.55,0,6.08,0,3.31,0.55,0,0,0,0,0,0.55,2.21,0,Low,2,4,High
118766,"Everyone needs a philosophy in order to function properly in society. I can explain mine briefly. The foundation of my ideology is that reality is objective and that we must use our logic and reason to properly understand reality. In order to make ones way through this world most efficiently, they must act in complete self-interest. Even altruism is hedonistic in its reasoning. The best way to allow for this to happen is through capitalism and the free market. We are rewarded for our hard work and only  those who are willing and able to work will be compensated for their contribution to society. This is true of all great men and women since the beginning of time. ","My typical day is as follows: / Wake Up / Go to gym / Eat  / Masturbate / Shower/Grooming/Oral Hygiene / Eat / Go to work / Eat / Go home / Eat / Study  / Write / Consume Media / Stretch / Rinse off/Oral Hygiene  / Sleep /  / Some more unique moments from the past week include: recycling old electronics, helping a friend move into a new apartment, having sex with an Asian woman who I met at the laundromat, watching the UFC, and going to the movies. ",1,3,italian-american,english,5,10,v,118,63.92,20.4,14.75,24.58,66.95,56.78,15.25,8.47,2.54,3.39,0,1.69,11.86,3.39,5.93,2.54,13.56,1.69,11.86,4.24,5.08,3.39,0,0,0,0,3.39,0,0,0,0,0,0,0,1.69,2,Low,5,4,High
118767,"I value being independent and resilient, as I am extremely introverted and neither enjoy the company of other people nor wish to ask other people for assistance. The ability to be independent comes via my love of learning. It does not intimidate me to make home repairs or maintain machinery around my farmstead because I am curious about how things work and love to work with my hands. Although most people think of me as an intellectual, I actually like a nice balance of mental/physical in my day to day life. So, I do farm chores, repair furnace, plumbing and electrical, etcl but I also spend a great chunk of my day researching ecological literature, writing grants, and analyzing data. By far, the greatest love I have is not people, it is the natural world and the other sentient beings that call earth home. My formal education is in ecology and, although I have spent much of my professional life as a statistician, I still consider wildlife and ecology my passion. I believe in living a simple life -- no car, minimal possessions, no cable TV, no vacations, etc -- in hopes that I can reduce my impact on the planet and actually have TIME to enjoy life rather than participate in the chase for money that robs one of time and just leads to stress. I am vegan because I believe that it is not necessary for me to cause ANY other living being to suffer just for me to have unnecessary things or foods. I do not destroy any beings that come into my home or eat from my garden. I garden without the use of motorized tools and do not use chemicals Care of the land and of other species --to do no harm and use only what I need -- is the guiding value of my life.","I worked on MTurk all afternoon before deciding to go for an evening walk. I ate dinner and watched television until the late local news was finished. Then I read for an hour before going to bed. Tuesday was a repeat of Monday. On Wednesday it was very hot and humid. I decided to take the day off and go hunting for morel mushrooms. I rode my bike to the public woodland and walked in the woods for 3 hours (with no luck). I biked back home and had to rest for awhile afterwards since I overheated and developed a migraine as a result. That night, I ate asparagus that I had harvested. On Friday, I did laundry then cleaned the entire house thoroughly, and then mowed the lawn. All of this in preparation for my Mother coming over for Mother's Day on Sunday. On Saturday, I cooked quinoa and puttanesca sauce and harvested more asparagus in preparation for my Sunday dinner. I also made Danish cherries and then  baked a dozen vanilla cupcakes (with Danish cherry filling) and coated them with chocolate icing. Mom came over for dinner on sunday at noon and we went shopping later so that I could purchase a spirea plant for her. While shopping, we also got groceries and then returned home before 5 because of the impending thunderstorms. Last night, the severe storms and tornado warnings meant that myy television viewing was interrupted -- not only because the local news insertions but because I had to take myself and my companion birds into the basement. I listened to the hail and the winds beat on my windows. Today I walked around the house looking for broken glass and shingles destroyed on the roof. I also picked up and moved large tree limbs. Then I re-filled the hummingbirds and oriole feeders as well as the birdseed feeder and water pan.",2,5,White non-Hispanic,English,6,1,v,309,44.32,95,28.09,18.77,70.55,57.28,13.92,10.36,10.36,0,0,0,1.94,0,1.29,0.97,17.8,1.29,16.5,2.59,3.24,1.29,1.94,0.97,7.12,0,6.15,1.62,2.27,0.65,0.32,0,0,0.97,4.85,0,Low,2,2,Low
120374,"Important values for me are kindness, fairness, intelligence. /  / Kindness above all is the rule. Treating others with respect means everything and can make the difference between a frustrating life and a rewarding one. Everyone wants the same thing, when you get right down to it. People want to be treated with respect and have a life with as little pain as possible. Focusing on the humanity in everyone you meet cab defuse a bad situation, build a bridge between enemies, repair a broken relationship, etc. Finding the courage to admit that you're wrong and being big enough to apologize can work wonders. Kindness is key. /  / Fairness is a close second. Everyone deserves an equal chance, no one should be excluded from the chance to succeed and thrive. Simple things like not cutting in line, not stiffing the waiter on a tip, telling the cashier who gave you too much money back, are important ways to keep things ""even"" and fair. This balance helps prevent resentment, hostility, anxiety, etc. /  / So many problems in the world stem from ignorance, whether it's about culture, race, or even oneself. A conscious effort to improve and expands one's worldview is so beneficial in terms of one's relationship to others, both here and abroad. Learning about other countries, about history, about science helps one navigate the world and understand his place in it.","In the past seven days, I have gone to work, had dinner with friends, spent Mother's Day with family, watched movies on cable TV, helped a friend move, washed and waxed my car, babysat for neighbors, watched a dog for a friend, spent a day at home feeling sick, worked on a writing project with a friend, played games online, caught up on emails, cleaned out my closet, read and critiqued a friend's original screenplay, made several playlists for music apps, sprayed for bugs, met an old friend for coffee, went to the DMV to renew my license, , had a service call for my cable TV, lost and then found my glasses, went grocery shopping, changed my sheets, bought socks/underwear, slept,",1,4,Caucasian,English,5,4,v,227,77.47,25.77,15.13,26.43,64.76,52.42,10.13,3.52,0.44,0,0.88,0,5.73,1.76,2.2,1.76,17.18,3.08,14.1,3.96,0.44,2.64,2.2,0,4.85,0,13.22,5.29,3.08,2.64,0.44,1.32,0,0,1.32,5,High,5,5,High
120665,"My most important values that guide my life are spirituality, Family and Love.  Spirituality is very important to me and those around me because it's are faith and guidence through life.  Family is very important also because as a family we stick together through anything.  Love is also very important to me because without love my life would be incomplete.  All these values put together are the core of my being and those around whitch is my family.  We all feel the same way that's what makes us the family we are.",A week ago my girlfriend and I went to the grocery store with the kids then took them to the park after that we ate dinner at home and watched WWE.  The next day my girlfriend the kids and I went to the pool.  We ate icecream on the porch as a family.  We always cook dinner never eat out.  My girlfriend the kids and I also went shopping for some things we needed from Walmart and took the kids to the pool.  We took our minivan to get a new tire and also went to Discovery Green park downtown.  We went to my sisters apartment the other day.,2,5,White,English,2,1,v,92,3.04,37.09,15.33,18.48,72.83,64.13,21.74,13.04,8.7,4.35,0,0,11.96,11.96,0,0,11.96,2.17,9.78,1.09,4.35,1.09,1.09,0,2.17,0,7.61,0,3.26,0,0,0,0,1.09,3.26,3,Low,6,2,Low
